code,name,url,type,manager,company
942,001152,融通新区域新经济灵活配置混,http://fund.eastmoney.com/001152.html,混合型,杨博琳,融通基金
943,001154,北信瑞丰平安中国主题灵活配,http://fund.eastmoney.com/001154.html,混合型,于军华,北信瑞丰
944,001156,申万菱信新能源汽车混合,http://fund.eastmoney.com/001156.html,混合型,孙琳,申万菱信基金
945,001157,国联安睿祺灵活配置混合,http://fund.eastmoney.com/001157.html,混合型,侯慧娣,国联安基金
947,001159,大成景秀灵活配置混合A,http://fund.eastmoney.com/001159.html,混合型,黄万青,大成基金
952,001164,中欧琪和灵活配置混合A,http://fund.eastmoney.com/001164.html,混合型,孙甜,中欧基金
953,001165,中欧琪和灵活配置混合C,http://fund.eastmoney.com/001165.html,混合型,孙甜,中欧基金
956,001168,国投瑞银优选收益混合,http://fund.eastmoney.com/001168.html,混合型,桑俊,国投瑞银基金
957,001169,国投瑞银新价值混合,http://fund.eastmoney.com/001169.html,混合型,殷瑞飞,国投瑞银基金
958,001170,泰达宏利复兴混合,http://fund.eastmoney.com/001170.html,混合型,吴华,泰达宏利基金
960,001172,鹏华弘泽混合A,http://fund.eastmoney.com/001172.html,混合型,周恩源,鹏华基金
961,001173,中欧瑾和灵活配置混合A,http://fund.eastmoney.com/001173.html,混合型,王健,中欧基金
962,001174,中欧瑾和灵活配置混合C,http://fund.eastmoney.com/001174.html,混合型,王健,中欧基金
967,001179,德邦大健康灵活配置混合,http://fund.eastmoney.com/001179.html,混合型,黎莹,德邦基金
969,001181,南方改革机遇,http://fund.eastmoney.com/001181.html,混合型,刘霄汉,南方基金
