code,name,type,manager,company
001246,兴银长乐定开债,定开债券,陈博亮,兴银基金
001247,华泰柏瑞新利混合A,混合型,杨景涵,华泰柏瑞基金
001249,易方达新利灵活配置混合,混合型,张清华,易方达基金
001250,天弘新活力混合,混合型,钱文成,天弘基金
001251,天弘现金管家货币D,货币型,王登峰,天弘基金
001252,中海进取收益混合,混合型,许定晴,中海基金
001253,建信回报灵活配置混合,混合型,牛兴华,建信基金
001254,泰达宏利新起点混合A,混合型,庞宝臣,泰达宏利基金
001255,长城改革红利混合,混合型,赵波,长城基金
001256,泓德优选成长混合,混合型,王克玉,泓德基金
001257,兴业收益增强债券A,债券型,周鸣,兴业基金
001258,兴业收益增强债券C,债券型,丁进,兴业基金
001259,德邦鑫星稳健灵活配置混合,混合型,戴鹤忠,德邦基金
001260,广发安心混合,混合型,代宇,广发基金
001261,中融新机遇混合,混合型,姜涛,中融基金
001262,大成景明灵活配置混合A,混合型,朱哲,大成基金
001263,大成景穗灵活配置混合A,混合型,陈会荣,大成基金
001264,银华恒利灵活配置混合A,混合型,葛鹤军,银华基金
001265,国泰兴益灵活配置混合A,混合型,樊利安,国泰基金
001266,国投瑞银招财混合,混合型,綦缚鹏,国投瑞银基金
001267,泰达宏利蓝筹混合,混合型,陈丹琳,泰达宏利基金
001268,富国国家安全主题混合,混合型,王海军,富国基金
001270,英大灵活配置混合型发起式A,混合型,袁忠伟,英大基金
001271,英大灵活配置混合型发起式B,混合型,袁忠伟,英大基金
001272,兴业聚利灵活配置混合,混合型,腊博,兴业基金
001273,民生加银新动力混合A,混合型,杨林耘,民生加银基金
001274,民生加银新动力混合D,混合型,杨林耘,民生加银基金
001275,中邮创新优势灵活配置混合,混合型,刘田,中邮基金
001276,建信新经济灵活配置混合,混合型,许杰,建信基金
001277,博时国企改革股票,股票型,林景艺,博时基金
001278,前海开源清洁能源混合A,混合型,邱杰,前海开源基金
001279,中海积极增利混合,混合型,左剑,中海基金
001280,银华聚利灵活配置混合A,混合型,哈默,银华基金
001281,长安鑫利优选混合A,混合型,林忠晶,长安基金
001282,华安新机遇保本混合,基金规模,华安基金,基金评级
001283,红塔红土盛金新动力混合A,混合型,罗薇,红塔红土
001284,红塔红土盛金新动力混合C,混合型,罗薇,红塔红土
001285,易方达新鑫混合I,混合型,张清华,易方达基金
001286,易方达新鑫混合E,混合型,张清华,易方达基金
001287,安信优势增长混合A,混合型,聂世林,安信基金
001289,银华汇利灵活配置混合A,混合型,哈默,银华基金
001290,广发安泰混合,混合型,代宇,广发基金
001291,大摩量化多策略股票,股票型,夏青,摩根士丹利华鑫基金
001294,新华战略新兴产业灵活配置混,混合型,崔建波,新华基金
001295,大成景源灵活配置混合A,混合型,黄万青,大成基金
001296,长城转型成长灵活配置混合,混合型,赵波,长城基金
