code,name,type,manager,company
001510,富国新动力灵活配置混合C,混合型,李晓铭,富国基金
001511,兴全新视野定开混合,混合型,董承非,兴全基金
001513,易方达信息产业混合,混合型,郑希,易方达基金
001515,平安大华新鑫先锋C,混合型,邓翔,平安大华基金
001517,大成景裕灵活配置混合A,混合型,张文平,大成基金
001518,万家瑞兴,混合型,莫海波,万家基金
001522,博时新策略灵活配置混合A,混合型,王曦,博时基金
001523,博时新策略灵活配置混合C,混合型,王曦,博时基金
001524,华泰柏瑞精选回报混合,混合型,杨景涵,华泰柏瑞基金
001530,万家瑞富灵活配置混合,混合型,高翰昆,万家基金
001532,华安文体健康混合,混合型,苏圻涵,华安基金
001533,华泰柏瑞爱利混合,混合型,杨景涵,华泰柏瑞基金
001534,华宝万物互联混合,混合型,楼鸿强,华宝基金
001535,景顺长城改革机遇灵活配置混合,混合型,鲍无可,景顺长城基金
001536,南方君选,混合型,茅炜,南方基金
001537,中加改革红利混合,混合型,张旭,中加基金
001538,上投摩根科技前沿灵活配置混,混合型,李德辉,上投摩根基金
001540,浙商汇金转型驱动,混合型,唐光英,浙商证券资管
001543,宝盈新锐混合,混合型,肖肖,宝盈基金
001547,兴业聚惠灵活配置混合A,混合型,徐青,兴业基金
001563,华富健康文娱灵活配置混合,混合型,陈启明,华富基金
001564,东方红京东大数据混合,混合型,周云,上海东方证券资产管理
001565,永赢量化混合发起式,混合型,张大木,永赢基金
001566,南方利达A,混合型,吴剑毅,南方基金
001567,南方利达C,混合型,吴剑毅,南方基金
001568,泰达宏利增利混合,混合型,张勋,泰达宏利基金
001569,泰信国策驱动灵活配置混合,混合型,车广路,泰信基金
001570,南方利安A,混合型,吴剑毅,南方基金
001571,嘉合磐石A,混合型,季慧娟,嘉合基金
001572,嘉合磐石C,混合型,季慧娟,嘉合基金
001574,中海混改红利混合,混合型,邱红丽,中海基金
001580,南方利安C,混合型,吴剑毅,南方基金
001581,华安沪港深通精选灵活配置混,混合型,苏圻涵,华安基金
001582,大成景辉灵活配置混合A,混合型,张文平,大成基金
001584,国投瑞银新活力灵活配置混合A,混合型,吴潇,国投瑞银基金
001585,国投瑞银新活力灵活配置混合,混合型,宋璐,国投瑞银基金
001596,信诚新泽A,混合型,杨旭,信诚基金
001597,招商丰融混合A,混合型,王刚,招商基金
001598,招商丰融混合C,混合型,王刚,招商基金
001601,鑫元鑫新收益灵活配置混合A,混合型,张明凯,鑫元基金
001602,鑫元鑫新收益灵活配置混合C,混合型,张明凯,鑫元基金
001603,易方达安盈回报混合,混合型,张清华,易方达基金
001604,浙商汇金转型升级灵活配置混,混合型,赵语涛,浙商证券资管
001606,农银工业4.0混合,混合型,颜伟鹏,农银汇理基金
001607,英大策略优选A,混合型,袁忠伟,英大基金
001608,英大策略优选C,混合型,袁忠伟,英大基金
001609,平安大华鑫享混合A,混合型,WANG AO(汪澳),平安大华基金
001610,平安大华鑫享混合C,混合型,WANG AO(汪澳),平安大华基金
001614,东方区域发展混合,混合型,朱晓栋,东方基金
001615,中欧睿尚定期开放混合,混合型,孙倩倩,中欧基金
001620,嘉实新机遇混合发起式,混合型,王茜,嘉实基金
001622,新华鑫锐混合,混合型,李会忠,新华基金
001623,兴业国企改革混合,混合型,刘方旭,兴业基金
001633,万家瑞祥混合A,混合型,高翰昆,万家基金
001634,万家瑞祥混合C,混合型,高翰昆,万家基金
001635,万家瑞益灵活配置混合A,混合型,高翰昆,万家基金
001636,万家瑞益灵活配置混合C,混合型,高翰昆,万家基金
001639,嘉实新常态混合A,混合型,胡永青,嘉实基金
001640,嘉实新常态混合C,混合型,胡永青,嘉实基金
001641,富国绝对收益多策略混合,混合型,于鹏,富国基金
001647,天弘聚利灵活配置混合,混合型,姜晓丽,天弘基金
001648,工银新价值灵活配置混合,混合型,游凛峰,工银瑞信基金
001650,工银丰收回报灵活配置混合A,混合型,刘柯,工银瑞信基金
001654,国联安添鑫灵活配置混合C,混合型,薛琳,国联安基金
001656,农银中国优势灵活配置混合,混合型,顾旭俊,农银汇理基金
001657,长安鑫富领先混合,混合型,林忠晶,长安基金
001659,富安达新动力混合,混合型,毛矛,富安达基金
001662,创金沪港深精选混合,混合型,张荣,创金合信基金
001664,平安大华鑫安混合A,混合型,黄维,平安大华基金
001665,平安大华鑫安混合C,混合型,黄维,平安大华基金
001667,南方转型混合,混合型,张旭,南方基金
001670,长城新策略混合A,混合型,马强,长城基金
001671,长城新策略混合C,混合型,马强,长城基金
001673,红塔红土优质成长A,混合型,罗薇,红塔红土
001674,红塔红土优质成长C,混合型,罗薇,红塔红土
001675,江信同福A,混合型,郑昱,江信基金
001676,江信同福C,混合型,郑昱,江信基金
001679,前海开源中国稀缺资产混合A,混合型,曲扬,前海开源基金
001680,九泰久利灵活配置混合,混合型,王玥晰,九泰基金
001681,新华积极价值灵活配置混合,混合型,李会忠,新华基金
001682,新华鑫回报混合,混合型,姚秋,新华基金
001683,华夏新经济混合,混合型,彭海伟,华夏基金
001686,安信新动力混合A,混合型,庄园,安信基金
001687,安信新动力混合C,混合型,庄园,安信基金
001688,嘉实新起点混合A,混合型,王茜,嘉实基金
001694,华安沪港深外延增长混合,混合型,苏圻涵,华安基金
001695,泓德泓业混合,混合型,邬传雁,泓德基金
001700,建信鑫盛回报灵活配置混合,混合型,薛玲,建信基金
001701,中融产业升级混合,混合型,甘传琦,中融基金
001702,东方创新科技混合,混合型,郭瑞,东方基金
001704,国投瑞银进宝灵活配置混合,混合型,徐栋,国投瑞银基金
001706,诺安积极回报混合,混合型,李玉良,诺安基金
001708,东兴改革精选混合,混合型,孙继青,东兴证券
001709,华富物联世界灵活配置混合,混合型,王翔,华富基金
001710,安信新趋势混合A,混合型,张翼飞,安信基金
001711,安信新趋势混合C,混合型,张翼飞,安信基金
001712,东方红优势精选混合,混合型,刚登峰,上海东方证券资产管理
001715,工银新焦点混合A,混合型,胡志利,工银瑞信基金
001716,工银新趋势灵活配置混合A,混合型,游凛峰,工银瑞信基金
001720,工银新增利混合,混合型,张洋,工银瑞信基金
001721,工银新增益混合,混合型,李敏,工银瑞信基金
001722,工银银和利混合,混合型,魏欣,工银瑞信基金
001723,华商新动力灵活配置混合,混合型,刘萌萌,华商基金
001724,申万菱信多策略灵活配置混合,混合型,丁杰科,申万菱信基金
001727,申万菱信安鑫回报混合C,混合型,丁杰科,申万菱信基金
001728,银华战略新兴定开混合,混合型,倪明,银华基金
001729,银华逆向投资定开混合,混合型,杨欣,银华基金
001730,兴银大健康,混合型,张晓南,兴银基金
001731,广发百发大数据价值混合A,混合型,季峰,广发基金
001732,广发百发大数据价值混合E,混合型,季峰,广发基金
001734,广发百发大数据成长混合A,混合型,季峰,广发基金
001735,广发百发大数据成长混合E,混合型,季峰,广发基金
001740,光大中国制造2025混合,混合型,何奇,光大保德信基金
001741,广发百发大数据精选混合A,混合型,季峰,广发基金
001742,广发百发大数据精选混合E,混合型,季峰,广发基金
001743,诺安优选回报混合,混合型,李玉良,诺安基金
001744,诺安进取回报混合,混合型,李玉良,诺安基金
001745,易方达瑞富灵活配置混合I,混合型,胡剑,易方达基金
001746,易方达瑞富灵活配置混合E,混合型,胡剑,易方达基金
001753,红土创新新兴产业混合,混合型,侯世霞,红土创新基金
001754,永赢量化灵活配置混合发起式,混合型,张大木,永赢基金
